Time(s),Temp(K)
997,47.6466
998,47.7512
999,47.9273
1000,48.0105
1001,48.0504
1002,47.9328
1003,48.1134
1004,48.2166
1005,48.3883
1006,48.4545
1007,48.6133
1008,48.6796
1009,48.8271
1010,48.8993
1011,49.0278
1012,49.1031
1013,49.2232
1014,49.2918
1015,49.4187
1016,49.4704
1017,49.5992
1018,49.6497
1019,49.7646
1020,49.8196
1021,49.9169
1022,49.9744
1023,50.0604
1024,50.1133
1025,50.2041
1026,50.2415
1027,50.3363
1028,50.3705
1029,50.4554
1030,50.494
1031,50.5627
1032,50.6059
1033,50.6654
1034,50.7065
1035,50.7725
1036,50.7981
1037,50.8704
1038,50.8927
1039,50.9567
1040,50.9845
1041,51.0329
1042,51.0652
1043,51.1046
1044,51.1363
1045,51.1829
1046,51.2005
1047,51.2557
1048,51.27
1049,51.3203
1050,51.3409
1051,51.3758
1052,51.401
1053,51.4286
1054,51.4544
1055,51.4886
1056,51.5008
1057,51.5451
1058,51.5538
1059,51.5947
1060,51.6096
1061,51.6382
1062,51.6596
1063,51.6809
1064,51.7052
1065,51.7346
1066,51.7468
1067,51.7906
1068,51.8002
1069,51.8442
1070,51.8612
1071,51.8952
1072,51.9193
1073,51.9463
1074,51.9741
1075,52.008
1076,52.0239
1077,52.0711
1078,52.0807
1079,52.1256
1080,52.1409
1081,52.1714
1082,52.1928
1083,52.2126
1084,52.236
1085,52.2611
1086,52.2722
1087,52.3085
1088,52.3137
1089,52.3486
1090,52.3596
1091,52.3173
1092,52.1425
1093,51.7765
1094,51.6129
1095,51.3099
1096,51.1655
1097,50.8883
1098,50.7546
1099,50.4971
1100,50.3737
1101,50.1363
1102,50.0221
1103,49.7977
1104,49.689
1105,49.4806
1106,49.373
1107,49.1963
1108,49.1286
1109,48.9781
1110,48.9075
1111,48.785
1112,48.7237
1113,48.6268
1114,48.5788
1115,48.4802
1116,48.4287
1117,48.3054
1118,48.2436
1119,48.1321
1120,48.0738
1121,47.9722
1122,47.9294
1123,47.8608
1124,47.8307
1125,47.8002
1126,47.7851
1127,47.7721
1128,47.762
1129,47.7553
1130,47.7475
1131,47.7447
1132,47.7375
1133,47.7327
1134,47.7286
1135,47.7179
1136,47.7202
1137,47.7056
1138,47.7095
1139,47.6946
1140,47.7017
1141,47.6862
1142,47.6947
1143,47.6806
1144,47.6833
1145,47.6777
1146,47.6771
1147,47.6796
1148,47.6776
1149,47.6832
1150,47.6791
1151,47.6872
1152,47.6837
1153,47.694
1154,47.6941
1155,47.7119
1156,47.7139
1157,47.7407
1158,47.7478
1159,47.7715
1160,47.776
1161,47.7986
